sticker_id,market_hash_name
s6543,Sticker | Cloud9 (Foil) | MLG Columbus 2016
s6544,Sticker | Cloud9 (Holo) | Cologne 2014
s6545,Sticker | Cloud9 (Holo) | DreamHack 2014
s6546,Sticker | Cloud9 (Holo) | Krakow 2017
s6547,Sticker | Cloud9 (Holo) | London 2018
s6548,Sticker | Cloud9 (Holo) | MLG Columbus 2016
s6549,Sticker | Cloud9 G2A (Foil) | Cologne 2015
s6550,Sticker | Cloud9 G2A (Foil) | Katowice 2015
s6551,Sticker | Cloud9 G2A (Holo) | Katowice 2015
s6552,Sticker | Cloud9 G2A | Cologne 2015
s6553,Sticker | Cloud9 G2A | Katowice 2015
s6554,Sticker | Cloud9 | Cluj-Napoca 2015
s6555,Sticker | Cloud9 | Cologne 2014
s6556,Sticker | Cloud9 | DreamHack 2014
s6557,Sticker | Cloud9 | Krakow 2017
s6558,Sticker | Cloud9 | London 2018
s6559,Sticker | Cloud9 | MLG Columbus 2016
s6560,Sticker | Copenhagen Wolves (Holo) | Cologne 2014
s6561,Sticker | Copenhagen Wolves | Cologne 2014
s6562,Sticker | Copenhagen Wolves | DreamHack 2014
s6563,Sticker | Countdown
s6564,Sticker | Countdown (Foil)
s6565,Sticker | Countdown (Holo)
s6566,Sticker | Counter Logic Gaming (Foil) | Cluj-Napoca 2015
s6567,Sticker | Counter Logic Gaming (Foil) | Cologne 2015
s6568,Sticker | Counter Logic Gaming (Foil) | Cologne 2016
s6569,Sticker | Counter Logic Gaming (Foil) | Katowice 2015
s6570,Sticker | Counter Logic Gaming (Foil) | MLG Columbus 2016
s6571,Sticker | Counter Logic Gaming (Holo) | Cologne 2016
s6572,Sticker | Counter Logic Gaming (Holo) | Katowice 2015
s6573,Sticker | Counter Logic Gaming (Holo) | MLG Columbus 2016
s6574,Sticker | Counter Logic Gaming | Cluj-Napoca 2015
s6575,Sticker | Counter Logic Gaming | Cologne 2015
s6576,Sticker | Counter Logic Gaming | Cologne 2016
s6577,Sticker | Counter Logic Gaming | Katowice 2015
s6578,Sticker | Counter Logic Gaming | MLG Columbus 2016
s6579,Sticker | Crown (Foil)
s6580,Sticker | DAVEY (Foil) | MLG Columbus 2016
s6581,Sticker | DAVEY | MLG Columbus 2016
s6582,Sticker | DD (Foil) | Boston 2018
s6584,Sticker | DD | Boston 2018
s6585,Sticker | DD | London 2018
s6586,Sticker | DEVIL (Foil) | Cologne 2016
s6587,Sticker | DEVIL (Foil) | MLG Columbus 2016
s6588,Sticker | DEVIL | Cologne 2016
s6589,Sticker | DEVIL | MLG Columbus 2016
s6590,Sticker | DavCost (Foil) | Cluj-Napoca 2015
s6591,Sticker | DavCost (Foil) | Cologne 2015
s6592,Sticker | DavCost | Cluj-Napoca 2015
s6593,Sticker | DavCost | Cologne 2015
s6594,Sticker | DavCost | London 2018
s6595,Sticker | DeadFox (Foil) | Atlanta 2017
s6596,Sticker | DeadFox | Atlanta 2017
s6597,Sticker | DeadFox | London 2018
s6598,Sticker | Death Comes
s6599,Sticker | Delicious Tears
s6600,Sticker | Dessert Eagle
s6601,Sticker | Devouring Flame
s6602,Sticker | Devouring Flame (Holo)
s6603,Sticker | Dima | London 2018
s6604,Sticker | Dinked
s6605,Sticker | Doomed
s6606,Sticker | Doru The Fox
s6607,Sticker | Dosia (Foil) | Atlanta 2017
s6608,Sticker | Dosia (Foil) | Boston 2018
s6609,Sticker | Dosia (Foil) | Cologne 2016
s6610,Sticker | Dosia (Foil) | Krakow 2017
s6611,Sticker | Dosia (Foil) | MLG Columbus 2016
s6612,Sticker | Dosia (Gold) | Boston 2018
s6613,Sticker | Dosia (Gold) | Krakow 2017
s6614,Sticker | Dosia | Atlanta 2017
s6615,Sticker | Dosia | Boston 2018
s6616,Sticker | Dosia | Cologne 2016
s6617,Sticker | Dosia | Krakow 2017
s6618,Sticker | Dosia | London 2018
s6619,Sticker | Dosia | MLG Columbus 2016
s6620,Sticker | Dragon
s6621,Sticker | Dragon (Foil)
s6622,Sticker | DreamHack (Foil) | Cluj-Napoca 2015
s6623,Sticker | DreamHack Winter 2014
s6624,Sticker | DreamHack Winter 2014 (Foil)
s6625,Sticker | DreamHack | Cluj-Napoca 2015
s6626,Sticker | Drug War Veteran
s6627,Sticker | ELEAGUE (Foil) | Atlanta 2017
s6628,Sticker | ELEAGUE (Foil) | Boston 2018
